A	Alimentary tract and metabolism
N03AX07	Phenacemide
N03AX09	Lamotrigine
N03AX10	Felbamate
N03AX11	Topiramate
N03AX12	Gabapentin
N03AX13	Pheneturide
N03AX14	Levetiracetam
N03AX30	Beclamide
N04	Anti-Parkinson drugs
N04A	Anticholinergic agents
N04AA	Tertiary amines
N04AA01	Trihexyphenidyl
N04AA02	Biperiden
N04AA03	Metixene
N04AA04	Procyclidine
N04AA05	Profenamine
N04AA08	Dexetimide
N04AA09	Phenglutarimide
N04AA10	Mazaticol
N04AA11	Bornaprine
N04AA12	Tropatepine
N04AB	Ethers chemically close to antihistamines
N04AB01	Etanautine
N04AB02	Orphenadrine (chloride)
N04AC	Ethers of tropine or tropine derivatives
N04AC01	Benzatropine
N04AC30	Etybenzatropine
N04B	Dopaminergic agents
N04BA	Dopa and dopa derivatives
N04BA01	Levodopa
N04BA02	Levodopa and decarboxylase inhibitor
N04BB	Adamantane derivatives
N04BB01	Amantadine
N04BC	Dopamine agonists
N04BC01	Bromocriptine
N04BC02	Pergolide
N04BC03	Dihydroergocryptine mesylate
N04BC04	Ropinirole
N04BC05	Pramipexole
N04BC06	Cabergoline
N04BC07	Apomorphine
N04BD	Monoamine oxidase type B inhibitors
N04BD01	Selegiline
N04BX	Other dopaminergic agents
N04BX01	Tolcapone
N04BX02	Entacapone
N04BX03	Budipine
N05	Psycholeptics
N05A	Antipsychotics
N05AA	Phenothiazine with aliphatic side-chain
N05AA01	Chlorpromazine
N05AA02	Levomepromazine
N05AA03	Promazine
N05AA04	Acepromazine
N05AA05	Triflupromazine
N05AA06	Cyamemazine
N05AA07	Chlorproethazine
N05AB	Phenothiazine with piperazine structure
N05AB01	Dixyrazine
N05AB02	Fluphenazine
N05AB03	Perphenazine
N05AB04	Prochlorperazine
N05AB05	Thiopropazate
N05AB06	Trifluoperazine
N05AB07	Acetophenazine
N05AB08	Thioproperazine
N05AB09	Butaperazine
N05AB10	Perazine
N05AC	Phenothiazines with piperidine structure
N05AC01	Periciazine
N05AC02	Thioridazine
N05AC03	Mesoridazine
N05AC04	Pipotiazine
N05AD	Butyrophenone derivatives
N05AD01	Haloperidol
N05AD02	Trifluperidol
N05AD03	Melperone
N05AD04	Moperone
N05AD05	Pipamperone
N05AD06	Bromperidol
N05AD07	Benperidol
N05AD08	Droperidol
N05AD09	Fluanisone
N05AE	Indole derivatives
N05AE01	Oxypertine
N05AE02	Molindone
N05AE03	Sertindole
N05AE04	Ziprasidone
N05AF	Thioxanthene derivatives
N05AF01	Flupentixol
N05AF02	Clopenthixol
N05AF03	Chlorprothixene
N05AF04	Tiotixene
N05AF05	Zuclopenthixol
N05AG	Diphenylbutylpiperidine derivatives
N05AG01	Fluspirilene
N05AG02	Pimozide
N05AG03	Penfluridol
N05AH	Diazepines, oxazepines and thiazepines
N05AH01	Loxapine
N05AH02	Clozapine
N05AH03	Olanzapine
N05AH04	Quetiapine
N05AK	Neuroleptics, in tardive dyskinesia
N05AK01	Tetrabenazine
N05AL	Benzamides
N05AL01	Sulpiride
N05AL02	Sultopride
N05AL03	Tiapride
N05AL04	Remoxipride
N05AL05	Amisulpride
N05AL06	Veraliprid
N05AN	Lithium
N05AN01	Lithium
N05AX	Other antipsychotics
N05AX07	Prothipendyl
N05AX08	Risperidone
N05AX09	Clotiapine
N05AX10	Mosapramine
N05AX11	Zotepine
N05B	Anxiolytics
N05BA	Benzodiazepine derivatives
N05BA01	Diazepam
N05BA02	Chlordiazepoxide
N05BA03	Medazepam
N05BA04	Oxazepam
N05BA05	Clorazepate potassium
N05BA06	Lorazepam
N05BA07	Adinazolam
N05BA08	Bromazepam
N05BA09	Clobazam
N05BA10	Ketazolam
N05BA11	Prazepam
N05BA12	Alprazolam
N05BA13	Halazepam
N05BA14	Pinazepam
N05BA15	Camazepam
N05BA16	Nordazepam
N05BA17	Fludiazepam
N05BA18	Ethyl loflazepate
N05BA19	Etizolam
N05BA21	Clotiazepam
N05BA22	Cloxazolam
N05BA23	Tofisopam
N05BA56	Lorazepam, combinations
N05BB	Diphenylmethane derivatives
N05BB01	Hydroxyzine
N05BB02	Captodiame
N05BB51	Hydroxyzine, combinations
N05BC	Carbamates
N05BC01	Meprobamate
N05BC03	Emylcamate
N05BC04	Mebutamate
N05BC51	Meprobamate, combinations
N05BD	Dibenzo-bicyclo-octadiene derivatives
N05BD01	Benzoctamine
N05BE	Azaspirodecanedione derivatives
N05BE01	Buspirone
N05BX	Other anxiolytics
N05BX01	Mefenoxalone
N05BX02	Gedocarnil
N05BX03	Etifoxine
N05C	Hypnotics and sedatives
N05CA	Barbiturates, plain
N05CA01	Pentobarbital
N05CA02	Amobarbital
N05CA03	Butobarbital
N05CA04	Barbital
N05CA05	Aprobarbital
N05CA06	Secobarbital
N05CA07	Talbutal
N05CA08	Vinylbital
N05CA09	Vinbarbital
N05CA10	Cyclobarbital
N05CA11	Heptabarbital
N05CA12	Reposal
N05CA15	Methohexital
N05CA16	Hexobarbital
N05CA19	Thiopental
N05CA20	Etallobarbital
N05CA21	Allobarbital
N05CA22	Proxibarbal
N05CB	Barbiturates, combinations
N05CB01	Combinations of barbiturates
N05CB02	Barbiturates in combination with other drugs
N05CC	Aldehydes and derivatives
N05CC01	Chloral hydrate
N05CC02	Chloralodol
N05CC03	Acetylglycinamide chloral hydrate
N05CC04	Dichloralphenazone
N05CC05	Paraldehyde
N05CD	Benzodiazepine derivatives
N05CD01	Flurazepam
N05CD02	Nitrazepam
N05CD03	Flunitrazepam
N05CD04	Estazolam
N05CD05	Triazolam
N05CD06	Lormetazepam
N05CD07	Temazepam
N05CD08	Midazolam
N05CD09	Brotizolam
N05CD10	Quazepam
N05CD11	Loprazolam
N05CD12	Doxefazepam
N05CD13	Cinolazepam
N05CE	Piperidinedione derivatives
N05CE01	Glutethimide
N05CE02	Methyprylon
N05CE03	Pyrithyldione
N05CF	Benzodiazepine related drugs
N05CF01	Zopiclone
N05CF02	Zolpidem
N05CF03	Zaleplon
N05CM	Other hypnotics and sedatives
N05CM01	Methaqualone
N05CM02	Clomethiazole
N05CM03	Bromisoval
N05CM04	Carbromal
N05CM05	Scopolamine
N05CM06	Propiomazine
N05CM07	Triclofos
N05CM08	Ethchlorvynol
N05CM09	Valerian
N05CM10	Hexapropymate
N05CM11	Bromides
N05CM12	Apronal
N05CM13	Valnoctamide
N05CM15	Methylpentynol
N05CM16	Niaprazine
N05CX	Hypnotics and sedatives in combination, excl. barbiturates
N05CX01	Meprobamate, combinations
N05CX02	Methaqualone, combinations
N05CX03	Methylpentynol, combinations
N05CX04	Clomethiazole, combinations
N05CX05	Emepronium, combinations
N05CX06	Dipiperonylaminoethanol, combinations
N06	Psychoanaleptics
N06A	Antidepressants
N06AA	Non-selective monoamine reuptake inhibitors
N06AA01	Desipramine
N06AA02	Imipramine
N06AA03	Imipramine oxide
N06AA04	Clomipramine
N06AA05	Opipramol
N06AA06	Trimipramine
N06AA07	Lofepramine
N06AA08	Dibenzepin
N06AA09	Amitriptyline
N06AA10	Nortriptyline
N06AA11	Protriptyline
N06AA12	Doxepin
N06AA13	Iprindole
N06AA14	Melitracen
N06AA15	Butriptyline
N06AA16	Dosulepin
N06AA17	Amoxapine
N06AA18	Dimetacrine
N06AA19	Amineptine
N06AA21	Maprotiline
N06AA23	Quinupramine
N06AB	Selective serotonin reuptake inhibitors
N06AB02	Zimeldine
N06AB03	Fluoxetine
N06AB04	Citalopram
N06AB05	Paroxetine
N06AB06	Sertraline
N06AB07	Alaproclate
N06AB08	Fluvoxamine
N06AB09	Etoperidone
N06AF	Monoamine oxidase inhibitors, non-selective
N06AF01	Isocarboxazid
N06AF02	Nialamide
N06AF03	Phenelzine
N06AF04	Tranylcypromine
N06AF05	Iproniazide
N06AF06	Iproclozide
N06AG	Monoamine oxidase type A inhibitors
N06AG02	Moclobemide
N06AG03	Toloxatone
N06AX	Other antidepressants
N06AX01	Oxitriptan
N06AX02	Tryptophan
N06AX03	Mianserin
N06AX04	Nomifensine
N06AX05	Trazodone
N06AX06	Nefazodone
N06AX07	Minaprine
N06AX08	Bifemelane
N06AX09	Viloxazine
N06AX10	Oxaflozane
N06AX11	Mirtazapine
N06AX13	Medifoxamine
N06AX14	Tianeptine
N06AX15	Pivagabine
N06AX16	Venlafaxine
N06AX17	Milnacipran
N06AX18	Reboxetine
N06B	Psychostimulants and nootropics
N06BA	Centrally acting sympathomimetics
N06BA01	Amfetamine
N06BA02	Dexamfetamine
N06BA03	Metamfetamine
N06BA04	Methylphenidate
N06BA05	Pemoline
N06BA06	Fencamfamin
N06BA07	Modafinil
N06BA08	Fenozolone
N06BC	Xanthine derivatives
N06BC01	Caffeine
N06BC02	Propentofylline
N06BX	Other psychostimulants and nootropics
N06BX01	Meclofenoxate
N06BX02	Pyritinol
N06BX03	Piracetam
N06BX04	Deanol
N06BX05	Fipexide
N06BX06	Citicoline
N06BX07	Oxiracetam
N06BX08	Pirisudanol
N06BX09	Linopirdine
N06BX10	Nizofenone
N06BX11	Aniracetam
N06BX12	Acetylcarnitine
N06BX13	Idebenone
N06BX14	Prolintane
N06BX15	Pipradol
N06BX16	Pramiracetam
N06BX17	Adrafinil
N06BX18	Vinpocetine
N06C	Psycholeptics and psychoanaleptics in combination
N06CA	Antidepressants in combination with psycholeptics
N06CA01	Amitriptyline and psycholeptics
N06CA02	Melitracen and psycholeptics
N06CB	Psychostimulants in combination with psycholeptics
N06D	Anti-dementia drugs
N06DA	Anticholinesterases
N06DA01	Tacrine
N06DA02	Donepezil
N06DA03	Rivastigmine
N06DA04	Galantamine
N06DX	Other anti-dementia drugs
N06DX01	Memantine
N06DX02	Ginkgo biloba
N07	Other nervous system drugs
N07A	Parasympathomimetics
N07AA	Anticholinesterases
N07AA01	Neostigmine
N07AA02	Pyridostigmine
N07AA03	Distigmine
N07AA30	Ambenonium
N07AA51	Neostigmine, combinations
N07AB	Choline esters
N07AB01	Carbachol
N07AB02	Bethanechol
N07AX	Other parasympathomimetics
N07AX01	Pilocarpine
N07AX02	Choline alfoscerate
N07B	Drugs used in addictive disorders
N07BA	Drugs used in nicotine dependence
N07BA01	Nicotine
N07BA02	Bupropion
N07BB	Drugs used in alcohol dependence
N07BB01	Disulfiram
N07BB02	Calcium carbimide
N07BB03	Acamprosate
N07BB04	Naltrexone
N07BC	Drugs used in opioid dependence
N07BC01	Buprenorphine
N07BC02	Methadone
N07BC03	Levacetylmethadol
N07C	Antivertigo preparations
N07CA	Antivertigo preparations
N07CA01	Betahistine
N07CA02	Cinnarizine
N07CA03	Flunarizine
N07CA04	Acetylleucine
N07CA52	Cinnarizine, combinations
N07X	Other nervous system drugs
N07XA	Gangliosides and ganglioside derivatives
N07XX	Other nervous system drugs
N07XX01	Tirilazad
N07XX02	Riluzole
P	Antiparasitic products, insecticides and repellents
P01	Antiprotozoals
P01A	Agents against amoebiasis and other protozoal diseases
P01AA	Hydroxyquinoline derivatives
P01AA01	Broxyquinoline
P01AA02	Clioquinol
P01AA04	Chlorquinaldol
P01AA05	Tilbroquinol
P01AA52	Clioquinol, combinations
P01AB	Nitroimidazole derivatives
P01AB01	Metronidazole
P01AB02	Tinidazole
P01AB03	Ornidazole
P01AB04	Azanidazole
P01AB05	Propenidazole
P01AB06	Nimorazole
P01AB07	Secnidazole
P01AC	Dichloroacetamide derivatives
P01AC01	Diloxanide
P01AC02	Clefamide
P01AC03	Etofamide
P01AC04	Teclozan
P01AR	Arsenic compounds
P01AR01	Arsthinol
P01AR02	Difetarsone
P01AR03	Glycobiarsol
P01AR53	Glycobiarsol, combinations
P01AX	Other agents against amoebiasis and other protozoal diseases
P01AX01	Chiniofon
P01AX02	Emetine
P01AX04	Phanquinone
P01AX05	Mepacrine
P01AX06	Atovaquone
P01AX07	Trimetrexate
P01AX08	Tenonitrozole
P01AX09	Dihydroemetine
P01AX52	Emetine, combinations
P01B	Antimalarials
P01BA	Aminoquinolines
P01BA01	Chloroquine
P01BA02	Hydroxychloroquine
P01BA03	Primaquine
P01BA06	Amodiaquine
P01BB	Biguanides
P01BB01	Proguanil
P01BB02	Cycloguanil embonate
P01BB51	Proguanil, combinations
P01BC	Methanolquinolines
P01BC01	Quinine
P01BC02	Mefloquine
P01BD	Diaminopyrimidines
P01BD01	Pyrimethamine
P01BD51	Pyrimethamine, combinations
P01BE	Artemisinin and derivatives
P01BE01	Artemisinin
P01BE02	Artemether
P01BE03	Artesunate
P01BE04	Artemotil
P01BE05	Artenimol
P01BE52	Artemether, combinations
P01BX	Other antimalarials
P01BX01	Halofantrine
P01C	Agents against leishmaniasis and trypanosomiasis
P01CA	Nitroimidazole derivatives
P01CA02	Benznidazole
P01CB	Antimony compounds
P01CB01	Meglumine antimonate
P01CB02	Sodium stibogluconate
P01CC	Nitrofuran derivatives
P01CC01	Nifurtimox
P01CC02	Nitrofural
P01CD	Arsenic compounds
P01CD01	Melarsoprol
P01CD02	Acetarsol
P01CX	Other agents against leishmaniasis and trypanosomiasis
P01CX01	Pentamidine isethionate
P01CX02	Suramin sodium
P01CX03	Eflornithine
P02	Anthelmintics
P02B	Antitrematodals
P02BA	Quinoline derivatives and related substances
P02BA01	Praziquantel
P02BA02	Oxamniquine
P02BB	Organophosphorous compounds
P02BB01	Metrifonate
P02BX	Other antitrematodal agents
P02BX01	Bithionol
P02BX02	Niridazole
P02BX03	Stibophen
P02C	Antinematodal agents
P02CA	Benzimidazole derivatives
P02CA01	Mebendazole
P02CA02	Tiabendazole
P02CA03	Albendazole
P02CA04	Ciclobendazole
P02CA05	Flubendazole
P02CA06	Fenbendazole
P02CA51	Mebendazole, combinations
P02CB	Piperazine and derivatives
P02CB01	Piperazine
P02CB02	Diethylcarbamazine
P02CC	Tetrahydropyrimidine derivatives
P02CC01	Pyrantel
P02CC02	Oxantel
P02CE	Imidazothiazole derivatives
P02CE01	Levamisole
P02CF	Avermectines
P02CF01	Ivermectin
P02CX	Other antinematodals
P02CX01	Pyrvinium
P02CX02	Bephenium
P02D	Anticestodals
P02DA	Salicylic acid derivatives
P02DA01	Niclosamide
P02DX	Other anticestodals
P02DX01	Desaspidin
P02DX02	Dichlorophen
P03	Ectoparasiticides, incl. scabicides, insecticides and repellents
P03A	Ectoparasiticides, incl. scabicides
P03AA	Sulfur containing products
P03AA01	Dixanthogen
P03AA02	Potassium polysulfide
P03AA03	Mesulfen
P03AA04	Disulfiram
P03AA05	Thiram
P03AA54	Disulfiram, combinations
P03AB	Chlorine containing products
P03AB01	Clofenotane
P03AB02	Lindane
P03AB51	Clofenotane, combinations
P03AC	Pyrethrines, incl. synthetic compounds
P03AC01	Pyrethrum
P03AC02	Bioallethrin
P03AC03	Phenothrin
P03AC04	Permethrin
P03AC51	Pyrethrum, combinations
P03AC52	Bioallethrin, combinations
P03AC53	Phenothrin, combinations
P03AC54	Permethrin, combinations
P03AX	Other ectoparasiticides, incl. scabicides
P03AX01	Benzyl benzoate
P03AX02	Copper oleinate
P03AX03	Malathion
P03AX04	Quassia
P03B	Insecticides and repellents
P03BA	Pyrethrines
P03BA01	Cyfluthrin
P03BA02	Cypermethrin
P03BA03	Decamethrin
P03BA04	Tetramethrin
P03BX	Other insecticides and repellents
P03BX01	Diethyltoluamide
P03BX02	Dimethylphthalate
P03BX03	Dibutylphthalate
P03BX04	Dibutylsuccinate
P03BX05	Dimethylcarbate
P03BX06	Etohexadiol
R	Respiratory system
R01	Nasal preparations
R01A	Decongestants and other nasal preparations for topical use
R01AA	Sympathomimetics, plain
R01AA02	Cyclopentamine
R01AA03	Ephedrine
R01AA04	Phenylephrine
R01AA05	Oxymetazoline
R01AA06	Tetryzoline
R01AA07	Xylometazoline
R01AA08	Naphazoline
R01AA09	Tramazoline
R01AA10	Metizoline
R01AA11	Tuaminoheptane
R01AA12	Fenoxazoline
R01AA13	Tymazoline
R01AA14	Epinephrine
R01AB	Sympathomimetics, combinations excl. corticosteroids
R01AB01	Phenylephrine
R01AB02	Naphazoline
R01AB03	Tetryzoline
R01AB05	Ephedrine
R01AB06	Xylometazoline
R01AB07	Oxymetazoline
R01AB08	Tuaminoheptane
R01AC	Antiallergic agents, excl. corticosteroids
R01AC01	Cromoglicic acid
R01AC02	Levocabastine
R01AC03	Azelastine
R01AC04	Antazoline
R01AC05	Spaglumic acid
R01AC06	Thonzylamine
R01AC07	Nedocromil
R01AC51	Cromoglicic acid, combinations
R01AD	Corticosteroids
R01AD01	Beclometasone
R01AD02	Prednisolone
R01AD03	Dexamethasone
R01AD04	Flunisolide
R01AD05	Budesonide
R01AD06	Betamethasone
R01AD07	Tixocortol
R01AD08	Fluticasone
R01AD09	Mometasone
R01AD11	Triamcinolone
R01AD52	Prednisolone, combinations
R01AD53	Dexamethasone, combinations
R01AD57	Tixocortol, combinations
R01AD60	Hydrocortisone, combinations
R01AX	Other nasal preparations
R01AX01	Calcium hexamine thiocyanate
R01AX02	Retinol
R01AX03	Ipratropium bromide
R01AX05	Ritiometan
R01AX06	Mupirocin
R01AX07	Hexamidine
R01AX08	Framycetin
R01AX10	Various
R01AX30	Combinations
R01B	Nasal decongestants for systemic use
R01BA	Sympathomimetics
R01BA01	Phenylpropanolamine
R01BA02	Pseudoephedrine
R01BA03	Phenylephrine
R01BA51	Phenylpropanolamine, combinations
R01BA52	Pseudoephedrine, combinations
R01BA53	Phenylephrine, combinations
R02	Throat preparations
R02A	Throat preparations
R02AA	Antiseptics
R02AA01	Ambazone
R02AA02	Dequalinium
R02AA03	Dichlorobenzyl alcohol
R02AA05	Chlorhexidine
R02AA06	Cetylpyridinium
R02AA09	Benzethonium
R02AA10	Myristyl-benzalkonium
R02AA11	Chlorquinaldol
R02AA12	Hexylresorcinol
R02AA13	Acriflavinium chloride
R02AA14	Oxyquinoline
R02AA15	Povidone-iodine
R02AA16	Benzalkonium
R02AA17	Cetrimonium
R02AA18	Hexamidine
R02AA19	Phenol
R02AA20	Various
R02AB	Antibiotics
R02AB01	Neomycin
R02AB02	Tyrothricin
R02AB03	Fusafungine
R02AB04	Bacitracin
R02AB30	Gramicidin
R02AD	Anesthetics, local
R02AD01	Benzocaine
R02AD02	Lidocaine
R02AD03	Cocaine
R02AD04	Dyclonine
R03	Drugs for obstructive airway diseases
R03A	Adrenergics, inhalants
R03AA	Alpha and beta-adrenoceptor agonists
R03AA01	Epinephrine
R03AB	Non-selective beta-adrenoceptor agonists
R03AB02	Isoprenaline
R03AB03	Orciprenaline
R03AC	Selective beta-2-adrenoceptor agonists
R03AC02	Salbutamol
R03AC03	Terbutaline
R03AC04	Fenoterol
R03AC05	Rimiterol
R03AC06	Hexoprenaline
R03AC07	Isoetarine
R03AC08	Pirbuterol
R03AC09	Tretoquinol
R03AC10	Carbuterol
R03AC11	Tulobuterol
R03AC12	Salmeterol
R03AC13	Formoterol
R03AC14	Clenbuterol
R03AC15	Reproterol
R03AC16	Procaterol
R03AC17	Bitolterol
R03AH	Combinations of adrenergics
R03AK	Adrenergics and other drugs for obstructive airway diseases
R03AK01	Epinephrine and other drugs for obstructive airway diseases
R03AK02	Isoprenaline and other drugs for obstructive aiway diseases
R03AK03	Fenoterol and other drugs for obstructive airway diseases
R03AK04	Salbutamol and other drugs for obstructive airway diseases
R03AK05	Reproterol and other drugs for obstructive airway diseases
R03AK06	Salmeterol and other drugs for obstructive airway diseases
R03AK07	Formoterol and other drugs for obstructive airway diseases
R03B	Other drugs for obstructive airway diseases, inhalants
R03BA	Glucocorticoids
R03BA01	Beclometasone
R03BA02	Budesonide
R03BA03	Flunisolide
R03BA04	Betamethasone
R03BA05	Fluticasone
R03BA06	Triamcinolone
R03BA07	Mometasone
R03BB	Anticholinergics
R03BB01	Ipratropium bromide
R03BB02	Oxitropium bromide
R03BB03	Stramoni preparations
R03BB04	Tiotropium bromide
R03BC	Antiallergic agents, excl. corticosteroids
R03BC01	Cromoglicic acid
R03BC03	Nedocromil
R03BX	Other drugs for obstructive airway diseases, inhalants
R03BX01	Fenspiride
R03C	Adrenergics for systemic use
R03CA	Alpha- and beta-adrenoceptor agonists
R03CA02	Ephedrine
R03CB	Non-selective beta-adrenoceptor agonists
R03CB01	Isoprenaline
R03CB02	Methoxyphenamine
R03CB03	Orciprenaline
R03CB51	Isoprenaline, combinations
R03CB53	Orciprenaline, combinations
R03CC	Selective beta-2-adrenoceptor agonists
R03CC02	Salbutamol
R03CC03	Terbutaline
R03CC04	Fenoterol
R03CC05	Hexoprenaline
R03CC06	Isoetarine
R03CC07	Pirbuterol
R03CC08	Procaterol
R03CC09	Tretoquinol
R03CC10	Carbuterol
R03CC11	Tulobuterol
R03CC12	Bambuterol
R03CC13	Clenbuterol
R03CC14	Reproterol
R03CC53	Terbutaline, combinations
R03CK	Adrenergics and other drugs for obstructive airway diseases
R03D	Other systemic drugs for obstructive airway diseases
R03DA	Xanthines
R03DA01	Diprophylline
R03DA02	Choline theophyllinate
R03DA03	Proxyphylline
R03DA04	Theophylline
R03DA05	Aminophylline
R03DA06	Etamiphylline
R03DA07	Theobromine
R03DA08	Bamifylline
R03DA09	Acefylline piperazine
R03DA10	Bufylline
R03DA11	Doxofylline
R03DA20	Combinations of xanthines
R03DA51	Diprophylline, combinations
R03DA54	Theophylline, combinations excl. psycholeptics
R03DA55	Aminophylline, combinations
R03DA57	Theobromine, combinations
R03DA74	Theophylline, combinations with psycholeptics
R03DB	Xanthines and adrenergics
R03DB01	Diprophylline and adrenergics
R03DB02	Choline theophyllinate and adrenergics
R03DB03	Proxyphylline and adrenergics
R03DB04	Theophylline and adrenergics
R03DB05	Aminophylline and adrenergics
R03DB06	Etamiphylline and adrenergics
R03DC	Leukotriene receptor antagonists
R03DC01	Zafirlukast
R03DC02	Pranlukast
R03DC03	Montelukast
R03DC04	Ibudilast
R03DX	Other systemic drugs for obstructive airway diseases
R03DX01	Amlexanox
R03DX02	Eprozinol
R03DX03	Fenspiride
R03DX05	Omalizumab
R05	Cough and cold preparations
R05C	Expectorants, excl. combinations with cough suppressants
R05CA	Expectorants
R05CA01	Tyloxapol
R05CA02	Potassium iodide
R05CA03	Guaifenesin
R05CA04	Ipecacuanha
R05CA05	Althea root
R05CA06	Senega
R05CA07	Antimony pentasulphide
R05CA08	Creosote
R05CA09	Guaiacolsulfonate
R05CA10	Combinations
R05CA11	Levoverbenone
R05CB	Mucolytics
R05CB01	Acetylcysteine
R05CB02	Bromhexine
R05CB03	Carbocisteine
R05CB04	Eprazinone
R05CB05	Mesna
R05CB06	Ambroxol
R05CB07	Sobrerol
R05CB08	Domiodol
R05CB09	Letosteine
R05CB10	Combinations
R05CB11	Stepronin
R05CB12	Tiopronin
R05CB13	Dornase alfa (desoxyribonuclease)
R05CB14	Neltenexine
R05CB15	Erdosteine
R05D	Cough suppressants, excl. combinations with expectorants
R05DA	Opium alkaloids and derivatives
R05DA01	Ethylmorphine
R05DA03	Hydrocodone
R05DA04	Codeine
R05DA05	Opium alkaloids with morphine
R05DA06	Normethadone
R05DA07	Noscapine
R05DA08	Pholcodine
R05DA09	Dextromethorphan
R05DA10	Thebacon
R05DA11	Dimemorfan
R05DA20	Combinations
R05DB	Other cough suppressants
R05DB01	Benzonatate
R05DB02	Benproperine
R05DB03	Clobutinol
R05DB04	Isoaminile
R05DB05	Pentoxyverine
R05DB07	Oxolamine
R05DB09	Oxeladin
R05DB10	Clofedanol
R05DB11	Pipazetate
R05DB12	Bibenzonium bromide
R05DB13	Butamirate
R05DB14	Fedrilate
R05DB15	Zipeprol
R05DB16	Dibunate
R05DB17	Droxypropine
R05DB18	Prenoxdiazine
R05DB19	Dropropizine
R05DB20	Combinations
R05DB21	Cloperastine
R05DB22	Meprotixol
R05DB23	Piperidione
R05DB24	Tipepidine
R05DB25	Morclofone
R05DB26	Nepinalone
R05DB27	Levodropropizine
R05F	Cough suppressants and expectorants, combinations
R05FA	Opium derivatives and expectorants
R05FA01	Opium derivatives and mucolytics
R05FA02	Opium derivatives and expectorants
R05FB	Other cough suppressants and expectorants
R05FB01	Cough suppressants and mucolytics
R05FB02	Cough suppressants and expectorants
R05X	Other cold combination preparations
R06	Antihistamines for systemic use
R06A	Antihistamines for systemic use
R06AA	Aminoalkyl ethers
R06AA01	Bromazine
R06AA02	Diphenhydramine
R06AA04	Clemastine
R06AA06	Chlorphenoxamine
R06AA07	Diphenylpyraline
R06AA08	Carbinoxamine
R06AA09	Doxylamine
R06AA52	Diphenhydramine, combinations
R06AA54	Clemastine, combinations
R06AA56	Chlorphenoxamine, combinations
R06AA57	Diphenylpyraline, combinations
R06AB	Substituted alkylamines
R06AB01	Brompheniramine
R06AB02	Dexchlorpheniramine
R06AB03	Dimetindene
R06AB04	Chlorpheniramine
R06AB05	Pheniramine
R06AB06	Dexbrompheniramine
R06AB07	Talastine
R06AB51	Brompheniramine, combinations
R06AB52	Dexchlorpheniramine, combinations
R06AB54	Chlorpheniramine, combinations
R06AB56	Dexbrompheniramine, combinations
R06AC	Substituted ethylene diamines
R06AC01	Mepyramine
R06AC02	Histapyrrodine
R06AC03	Chloropyramine
R06AC04	Tripelennamine
R06AC05	Methapyrilene
R06AC06	Thonzylamine
R06AC52	Histapyrrodine, combinations
R06AC53	Chloropyramine, combinations
R06AD	Phenothiazine derivatives
R06AD01	Alimemazine
R06AD02	Promethazine
R06AD03	Thiethylperazine
R06AD04	Methdilazine
R06AD05	Hydroxyethylpromethazine
R06AD06	Thiazinam
R06AD07	Mequitazine
R06AD08	Oxomemazine
R06AD09	Isothipendyl
R06AD52	Promethazine, combinations
R06AD55	Hydroxyethylpromethazine, combinations
R06AE	Piperazine derivatives
R06AE01	Buclizine
R06AE03	Cyclizine
R06AE04	Chlorcyclizine
R06AE05	Meclozine
R06AE06	Oxatomide
R06AE07	Cetirizine
R06AE08	Levocetirizine
R06AE51	Buclizine, combinations
R06AE53	Cyclizine, combinations
R06AE55	Meclozine, combinations
R06AK	Combinations of antihistamines
R06AX	Other antihistamines for systemic use
R06AX01	Bamipine
R06AX02	Cyproheptadine
R06AX03	Thenalidine
R06AX04	Phenindamine
R06AX05	Antazoline
R06AX07	Triprolidine
R06AX08	Pyrrobutamine
R06AX09	Azatadine
R06AX11	Astemizole
R06AX12	Terfenadine
R06AX13	Loratadine
R06AX15	Mebhydrolin
R06AX16	Deptropine
R06AX17	Ketotifen
R06AX18	Acrivastine
R06AX19	Azelastine
R06AX21	Tritoqualine
R06AX22	Ebastine
R06AX23	Pimethixene
R06AX24	Epinastine
R06AX25	Mizolastine
R06AX26	Fexofenadine
R06AX27	Desloratidine
R06AX28	Rupatidine
R06AX53	Thenalidine, combinations
R06AX58	Pyrrobutamine, combinations
R07	Other respiratory system products
R07A	Other respiratory system products
R07AA	Lung surfactants
R07AA01	Colfosceril palmitate
R07AA02	Natural phospholipids
R07AA30	Combinations
R07AB	Respiratory stimulants
R07AB01	Doxapram
R07AB02	Nikethamide
R07AB03	Pentetrazol
R07AB04	Etamivan
R07AB05	Bemegride
R07AB06	Prethcamide
R07AB07	Almitrine
R07AB08	Dimefline
R07AB09	Mepixamox
R07AB52	Nikethamide, combinations
R07AB53	Pentetrazol, combinations
R07AX	Other respiratory system products
S	Sensory organs
S01	Ophthalmologicals
S01A	Antiinfectives
S01AA	Antibiotics
S01AA01	Chloramphenicol
S01AA02	Chlortetracycline
S01AA03	Neomycin
S01AA04	Oxytetracycline
S01AA05	Tyrothricin
S01AA07	Framycetin
S01AA09	Tetracycline
S01AA10	Natamycin
S01AA11	Gentamicin
S01AA12	Tobramycin
S01AA13	Fusidic acid
S01AA14	Benzylpenicillin
S01AA15	Dihydrostreptomycin
S01AA16	Rifamycine
S01AA17	Erythromycin
S01AA18	Polymyxin B
S01AA19	Ampicillin
S01AA20	Antibiotics in combination with other drugs
S01AA21	Amikacin
